Reference area,TIME_PERIOD,fb_index,n_obs,tonnes_CO2,hectares,tonnes_oil,sq_km,cubic_m
Czechia,2022,79.3984776285661,2,16751.7389030748,81898.28142857143,13506.055,19218.333071428573,177.4217391304348
Czechia,2023,77.4062957691276,2,14480.875751381704,83175.97571428571,12584.279999999999,19243.838571428572,155.59130434782608
Czechia,2024,75.35880417517585,2,,81980.8642857143,,19728.806666666667,136.9304347826087
Denmark,1990,122.26237296952499,2,10197.538907394057,1629.5400000000002,6952.4,10694.533333333335,266.7
Denmark,1991,111.823930711522,2,11493.605365967182,1628.98,7368.9349999999995,10697.88,440.6
Denmark,1992,107.7682393961295,2,10583.095015325825,1611.6,7264.799999999999,10701.226666666667,429.8
Denmark,1993,112.1381014756295,2,10775.937583071302,1586.86,7504.765,10704.573333333332,245.6
Denmark,1994,109.773981191627,2,10988.442648977094,4770.733333333334,7487.16,10707.92,235.8
Denmark,1995,109.6061502933815,2,10651.155499860773,1590.3,7629.8,10711.266666666666,470.0
Denmark,1996,109.2241285153505,2,12177.815622347129,1470.7666666666667,7944.3150000000005,10714.613333333333,509.0
Denmark,1997,106.508347374083,2,11053.496009638693,1453.5333333333335,7758.88,10717.96,464.7
Denmark,1998,107.32842780605,2,10565.88851573771,14565.4,7688.17,10721.306666666665,440.1
Denmark,1999,108.10120943711,2,10241.80506865382,1470.1666666666667,7650.514999999999,10724.653333333334,422.0
Denmark,2000,100.0,2,9695.886096018874,1297.1666666666667,7486.905,10728.0,419.9
Denmark,2001,104.811025124364,2,9856.679776320656,1313.4166666666667,7661.085,10729.228333333334,330.9
Denmark,2002,97.67833500211415,2,9894.689814147938,26027.014285714286,7541.705,10730.456666666667,1147.0875
Denmark,2003,98.22749393536675,2,10481.019501655286,24697.77142857143,7695.295,10731.685,1248.9
Denmark,2004,96.32358618449754,2,9745.4861646467,23246.942857142858,7767.97,10026.458461538463,1116.275
Denmark,2005,91.4035173078881,2,9204.627697988095,20291.87142857143,7802.365,10011.592307692308,158.5
Denmark,2006,96.6383876955154,2,10170.541927697932,20855.442857142858,7903.465,10015.787692307693,152.36666666666667
Denmark,2007,90.6540886551864,2,9621.693392780211,20846.914285714283,7909.21,10026.244615384614,409.7
Denmark,2008,90.2623606967581,2,9063.604053448911,22561.928571428572,7802.74,10027.30153846154,406.7
Denmark,2009,94.58316601048065,2,8681.658159088809,23446.7,7486.22,10033.281538461539,385.6
Denmark,2010,89.67117740261884,2,8626.156439116075,24386.12857142857,7850.9,10039.415384615384,61.5784375
Denmark,2011,87.48778347790346,2,7927.529100111519,24281.925714285717,7475.9800000000005,10044.710769230769,62.531875
Denmark,2012,89.2931957427286,2,7326.168257325491,28924.02,7197.94,10060.39076923077,57.1575
Denmark,2013,89.3755033784717,2,7505.028871554229,25285.414285714283,7109.290000000001,10061.84,66.015625
Denmark,2014,96.49903261366825,2,7025.161094660347,24790.914285714283,6810.254999999999,10070.66223076923,66.2028125
Denmark,2015,90.23312528368456,2,6611.243550195297,24918.86857142857,7069.835,10078.994692307691,61.650625
Denmark,2016,82.19951604972115,2,6933.2480358854355,30371.385714285716,7207.764999999999,9401.392857142857,58.5396875
Denmark,2017,82.30690443567285,2,6633.7358549594865,33423.74285714286,7216.52,10125.876846153846,58.775
Denmark,2018,81.03810496994996,2,6757.265987262456,37770.82857142857,7185.45,9454.521357142858,72.1875
Denmark,2019,82.53200297681289,2,6188.5282133503615,42702.58571428571,7015.705,10175.399922692306,62.1303125
Denmark,2020,84.0591613079749,2,5852.339861381454,43947.94285714285,6765.73,9496.221428928571,62.38
Denmark,2021,83.7731747023624,2,5862.71229756088,44387.701428571425,7093.504999999999,9514.055714285714,63.254374999999996
Denmark,2022,75.17165114402844,2,5612.400659394795,43959.78428571428,6678.495,9513.31857142857,55.845555555555556
Denmark,2023,76.95986814530269,2,5136.3269716062605,43796.48714285714,6629.88,9521.152857142859,58.08166666666667
Denmark,2024,73.05452429451981,2,,1265.735,,4270.573333333333,47.94694444444445
Estonia,1990,109.8395,2,5792.142932099264,768.5600000000001,3125.63,,
Estonia,1991,104.62950000000001,2,4975.892169024932,775.74,3079.91,,
Estonia,1992,105.376,2,3502.1531310238142,774.9,1980.175,12686.248333833333,
Estonia,1993,107.527,2,2640.2460481366793,743.6800000000001,1612.2199999999998,12688.997416166667,
Estonia,1994,89.8865,2,2743.501180927722,632.3399999999999,1577.615,12691.746749666667,
Estonia,1995,80.0935,2,2416.7901424828865,573.4,1433.49,12694.495833250001,
Estonia,1996,89.27449999999999,2,2514.4670366446553,581.1,1575.3899999999999,12697.245000083334,
Estonia,1997,95.87299999999999,2,2458.70866653054,589.6,1543.2,12699.9941665,
Estonia,1998,87.8195,2,2261.2613272096146,419.25999999999993,1438.495,12702.743333083332,
Estonia,1999,85.7975,2,2192.5589040509576,574.62,1317.235,12705.492500083334,5.6
Estonia,2000,100.0,2,2182.2836850669055,565.2,1311.14,12708.241666,17.25
Estonia,2001,89.5875,2,2247.31343312244,495.36,1453.0900000000001,12716.335833416668,14.6375
